index,site.num,mgt.data,res.rank,nw.lat,nw.lon,elev.m,max.slope,tot.border.m,p.trees.bord,p.treerow.bord,p.forest.bord,p.ag.bord,p.house.bord,p.road,closest.forest.m,closest.road.m,bare.patch.m,bare.patch.num,grs.wtwy,trans.grswtwy,grass.waterway.m,nearest.stream.m,num.fld.corners,perim.m,ha,edge.interior,amata.sd.m2,SOC.pc,P.ppm,K.ppm,Mg.ppm,Ca.ppm,pH,buff.pH,CEC,K.pc,Mg.pc,Ca.pc,S.ppm,Zn.ppm,Mn.ppm,Fe.ppm,Cu.ppm,B.ppm,NO3.ppm,NH4.ppm,c.n.ratio,som.pc.comb,totN.pc,bulk.dens,sand.pc,silt.pc,clay.pc,texture,whc.0.33.bar,whc.15.bar,low.spot,watercourse.infld,watercourse.side,manure,crop.2010,border.wh.2010,amata.infest.2010,amata.absent.2010,amata.high.2010,ABUTH.2010,AMAsp.2010,AMBEL.2010,AMBTR.2010,CHEAL.2010,ERICA.2010,grass.2010,IPOHE.2010,SIDSP.2010,XANST.2010
1,1,no,top,39.060276,-125.303601,181,0.003,2339,0.42,0.34,0.08,0,0,0.59,182,214,29,2,yes,yes,618.27,193.08,4,2284,28.3,0.0081,4547,2.1,19,93,120,900,5.3,6.7,9.3,2.6,10.7,48.2,12,2,47,58,1,0.2,39,3,8.2,1.2,0.148,1.28,20,64,16,silt.loam,29.63,7.52,0,1,0,0,Soybean,1,M,0,0,0,0,0,0,0,1,0,0,0,0
2,2,no,top,39.063887,-125.307289,183,0.007,1037,0.51,0.08,0.43,0,0,0.53,99,68,187,3,no,no,236.91,233.5,6,1016,7.3,0.0139,1162,2.4,39,116,110,950,5.4,6.7,9.6,3.1,9.6,49.7,11,2,42,70,1,0.2,35,3,8.6,1.4,0.162,1.21,14,66,20,silt.loam,29.74,8.75,0,0,0,0,Soybean,1,H,0,1,0,0,0,0,0,0,0,0,0,0
3,3,no,middle,39.057818,-125.297009,180,0.008,1583,0.16,0.16,0,0.34,0.11,0.51,337,162,615,6,yes,no,404.88,418.84,4,1528,13.9,0.011,2055,2.1,33,135,125,950,5.7,6.8,8.5,4.1,12.2,55.6,17,2,46,49,0.8,0.2,34,3,8.7,1.2,0.14,1.36,20,64,16,silt.loam,27.05,6.97,0,0,0,0,Soybean,1,M,0,0,0,0,0,0,0,0,0,0,0,0
4,4,no,middle,39.056598,-125.298017,180,0.009,1618,0.350432633,0.04,0,0.68,0.03,0.569839308,210,304,215,4,yes,no,552.08,550.41,19,1956,13.8,0.0141,1067,2.5,27,169,115,850,5.5,6.7,9.2,4.7,10.4,46,14,1,51,47,0.8,0.2,30,2,9.9,1.5,0.147,1.32,18,66,16,silt.loam,26.68,7.59,0,0,0,0,Soybean,1,M,0,1,0,0,0,0,0,0,0,0,0,0
5,5,no,top,39.053368,-125.302063,180,0.01,654,0.99,0.1,0.89,0,0,0.01,31,403,22,1,yes,no,200.25,464.23,18,672,2.2,0.0307,596,2.3,19,116,100,700,5.4,6.7,8.2,3.6,10.1,42.5,9,5,54,35,1.3,0.2,32,2,8.2,1.3,0.163,1.29,20,62,18,silt.loam,25.77,7.34,0,0,0,0,Soybean,1,M,0,0,0,0,0,0,0,0,0,0,0,0
6,6,no,top,39.053169,-125.298126,180,0.011,1028,0.35,0,0.35,0,0,0.66,70,59,26,1,yes,no,72.32,690.05,17,1170,4.6,0.0256,13099,2.7,30,137,140,1250,6.7,6.9,9,3.9,13,69.7,19,2,58,43,0.8,0.2,41,2,11,1.6,0.142,1.29,18,64,18,silt.loam,26.65,7.27,0,0,0,0,Soybean,1,L,0,0,0,0,0,0,0,0,0,0,0,0
7,7,no,middle,39.058263,-125.294838,176,0.015,1044,0.55,0.29,0.26,0,0.07,0.36,56,160,337,2,yes,no,80.78,287.32,11,1128,6.1,0.0186,1215,3,20,106,165,1100,6,6.8,9.5,2.8,14.4,57.6,13,2,50,30,0.7,0.2,33,2,9.7,1.7,0.179,1.31,20,60,20,silt.loam,28.65,8.67,1,1,0,0,Soybean,1,L,0,0,0,0,0,0,0,0,0,0,0,0
8,8,no,bottom,39.05436,-125.291367,176,0.011,1673,0.728631201,0,0.53,0.15,0,0.404662283,69,61,53,3,no,no,0,221.96,16,1763,19.8,0.0089,1533,2.4,17,113,185,1200,6.5,6.9,9,3.2,17.1,66.4,13,2,50,20,0.7,0.2,36,2,9.4,1.4,0.148,1.27,22,60,18,silt.loam,28.54,8.57,0,0,0,0,Soybean,1,L,0,0,0,0,0,0,0,0,0,1,0,0
9,10,no,middle,39.048666,-125.305274,178,0.006,900,0.618888889,0,0.73,0.26,0,0.216666667,72,121,0,0,yes,no,58.13,435,9,851,2.8,0.03,2479,2.7,25,129,175,900,6.1,6.9,7.5,4.4,19.5,60.1,14,2,58,38,0.8,0.2,43,3,13.2,1.6,0.119,1.27,22,62,16,silt.loam,29.71,6.73,0,0,0,0,Soybean,1,M,0,0,0,0,0,0,0,1,0,0,0,0
10,11,no,middle,39.110421,-125.401096,187,0.006,1610,0.242857143,0,0.11,0.89,0.06,0.514285714,345,260,72,1,yes,yes,261,303,4,1590,16.2,0.0098,638,2.5,28,125,180,1150,6.7,6.9,8.8,3.7,17.1,65.6,9,5,40,42,0.9,0.7,13,2,11.9,1.5,0.122,1.28,20,62,18,silt.loam,30.47,7.53,0,0,1,0,Soybean,1,L,0,0,0,0,0,0,0,0,0,0,0,0
11,12,no,bottom,39.080581,-125.414146,187,0.008,1208,0,0,0,0.45,0.16,0.44,231,75,488,4,no,no,0,411.11,7,1269,6.5,0.0196,222,2.7,48,139,130,1350,6.7,6.9,9.4,3.8,11.5,71.9,8,7,59,65,1.2,0.5,13,2,11.3,1.6,0.138,1.34,18,62,20,silt.loam,31.46,8.75,0,0,0,0,Soybean,1,M,0,0,0,0,0,0,0,0,0,0,0,0
12,13,no,bottom,39.1071166,-125.418743,189,0.002,1629,0,0,0,0.42,0.06,0.43,804,72,367,5,yes,yes,611.34,774.78,4,1506,9.3,0.0162,446,2.4,46,185,225,1200,6.4,6.9,9.5,5,19.6,62.8,12,7,50,69,1.4,0.3,39,2,11.4,1.4,0.122,1.18,18,62,20,silt.loam,31.3,8.21,1,0,0,0,Corn,1,H,0,1,0,0,0,0,0,0,1,0,0,0
13,14,no,middle,39.081859,-125.415638,189,0.012,1840,0,0,0,0.72,0,0.27,732,275,386,4,yes,yes,560.23,838.36,4,1794,16.9,0.0106,2006,2.7,32,117,215,1050,7.2,7.2,7.3,4.1,24.4,71.5,13,5,52,41,0.9,0.5,4,2,12.1,1.6,0.129,1.2,18,62,20,silt.loam,31.39,8.57,1,0,0,0,Soybean,1,M,0,0,0,0,0,0,1,0,0,0,0,0
14,15,no,top,39.082687,-125.414207,189,0.014,1374,0,0,0,0.84,0,0.15,946,508,703,7,yes,no,174.84,956.67,8,1650,11.3,0.0146,542,3.3,42,203,145,1150,6.1,6.8,9.9,5.3,12.2,58.2,5,6,50,29,0.9,0.2,29,2,10.9,1.9,0.175,1.24,14,62,24,silt.loam,33.18,9.57,0,0,0,0,Soybean,0,L,0,0,0,0,0,0,0,1,0,0,0,0
15,16,no,top,39.04248,-125.250657,174,0.005,1427,1,0.97,0.06,0,0,0.03,218,174,59,1,yes,no,117.43,383.19,6,1383,11.3,0.0122,74,2.9,45,215,160,1100,6.4,6.9,8.6,6.4,15.5,64.1,10,7,56,36,1.1,0.2,37,2,9.2,1.7,0.182,1.17,14,68,18,silt.loam,33.59,7.97,0,0,0,0,Soybean,1,H,0,1,0,0,0,0,0,0,0,0,0,0
16,17,no,top,39.097211,-125.222048,169,0.004,2480,0.38,0.38,0,0.14,0,0.55,831,197,664,6,yes,no,482.08,345.9,6,2440,16.6,0.0147,3005,2.2,33,79,100,900,6.2,6.9,6.7,3,12.4,66.8,7,2,40,65,1.1,0.2,37,2,12,1.3,0.106,1.3,16,68,16,silt.loam,29.4,5.51,0,0,0,0,Soybean,1,H,0,1,0,0,0,0,0,0,0,0,0,0
17,18,no,top,39.097687,-125.212695,170,0.002,1751,0.89,0.58,0.31,0.09,0,0.04,162,582,61,2,no,no,0,227.85,8,1671,12.8,0.0131,1086,2.4,34,117,85,750,6.1,6.9,6,5,11.9,62.9,8,2,47,28,0.8,0.2,33,3,13.8,1.4,0.101,1.32,22,62,16,silt.loam,28.41,6,1,0,0,0,Soybean,0,L,0,0,0,0,0,0,0,0,0,0,0,0
18,25,yes,bottom,39.129377,-125.500983,158,0.008,912,0,0,0,1,0,0,112,653,277,5,yes,no,89.71,135.08,9,892,4,0.022,38,1.4,35,128,210,1200,6.8,7.2,8.3,3.9,21,72,11,11,51,47,1.3,0.6,63,3,6.9,0.8,0.117,1.28,44,43,13,loam,21.76,5.6,0,0,0,0,Corn,1,L,0,0,0,0,0,0,0,0,1,0,0,0
19,27,yes,middle,39.134808,-125.499535,170,0.005,1668,0.36,0,0.36,0.29,0.03,0.32,144,161,167,2,yes,yes,198.98,381.4,13,1759,15.6,0.0113,39,2.1,50,136,140,1400,7.1,7.2,8.5,4.1,13.7,82.2,11,9,49,103,1.4,0.8,31,3,9.8,1.2,0.124,1.4,18,65,17,silt.loam,31.58,7.8,0,0,0,0,Corn,1,L,0,0,0,0,1,0,0,1,1,1,1,1
20,29,yes,middle,39.12305,-125.46256,177,0.003,1619,0,0,0,0.49,0,0.51,625,199,457,3,yes,no,855.74,1039.68,4,1561,15.8,0.0099,345,3,71,175,145,1050,5.9,6.8,9.3,4.8,13,56.4,12,9,41,123,1.4,0.6,24,4,12.1,1.7,0.166,1.38,18,63,19,silt.loam,31.9,7.86,0,1,0,0,Soybean,1,L,0,0,0,0,0,0,0,0,0,0,0,0
21,30,yes,middle,39.122999,-125.467294,177,0.003,1648,0.11,0.11,0,0.31,0.12,0.42,801,196,0,0,yes,no,410.28,684.03,13,1754,12.6,0.014,226,2.8,100,179,190,1450,6.7,6.9,10.5,4.4,15.1,69.1,11,13,37,133,1.7,0.7,38,3,9.9,1.6,0.15,1.34,18,61,21,silt.loam,32.88,8.13,0,0,1,0,Corn,1,M,0,0,0,1,0,0,1,1,1,0,0,0
22,35,yes,middle,39.122844,-125.471358,176,0.008,1466,0.05,0.05,0,0.43,0.04,0.55,0,190,113,1,yes,yes,601.55,284.19,7,1491,14.8,0.0101,0,2.2,50,133,155,1450,7.1,7.2,8.9,3.8,14.5,81.6,11,11,44,82,1.3,1,18,3,11.4,1.3,0.112,1.4,12,71,17,silt.loam,31.15,7.39,0,0,0,0,Soybean,1,L,0,0,0,0,0,0,0,0,1,1,1,1
23,36,yes,middle,39.125354,-125.476558,176,0.035,767,0.08,0.08,0,0.55,0.2,0.14,234,130,0,0,yes,no,275.36,160.31,6,715,3,0.0235,662,2.8,59,147,185,1700,7.3,7.2,10.4,3.6,14.8,81.6,11,12,52,99,1.4,0.7,52,3,8,1.6,0.192,1.34,12,69,19,silt.loam,33.35,8.46,0,0,0,1,Corn,1,M,0,0,0,0,0,0,0,0,1,1,1,0
24,37,yes,bottom,39.122777,-125.478505,174,0.009,1289,0.131885182,0,0.11,0.89,0,0.333591932,107,107,0,0,no,no,0,145,6,809,4.2,0.0191,2466,2.1,46,151,130,1100,5.9,6.8,9.4,4.1,11.6,58.7,9,10,47,122,1.2,0.4,78,3,8.1,1.2,0.15,1.36,18,67,15,silt.loam,31.95,8.14,0,1,0,1,Corn,1,M,0,0,0,0,0,0,0,0,1,1,0,0
25,38,yes,middle,39.107054,-125.381605,190,0.004,2736,0.03,0.03,0,0.47,0.02,0.48,8760,252,371,4,yes,yes,1989.88,1274,8,2770,40.5,0.0068,1755,2.9,55,141,135,1800,6.6,6.9,11.7,3.1,9.6,77,12,2,43,72,1.3,0.3,83,3,9.5,1.7,0.148,1.36,14,65,21,silt.loam,33.47,8.14,1,0,0,0,Soybean,1,A,1,0,0,0,0,0,0,0,0,0,0,0
26,40,yes,top,39.009274,-125.354079,186,0.007,2400,0,0,0,0.67,0.02,0.33,667,396,39,1,yes,no,812.7,711,4,2355,32.4,0.0073,147,2.2,89,199,170,1900,7,7.2,11.4,4.5,12.4,83.1,7,2,43,93,1.6,0.4,15,3,9.1,1.3,0.14,1.39,14,65,21,silt.loam,32.86,9.48,0,0,0,0,Soybean,1,L,0,0,0,0,0,0,0,1,0,0,0,0
27,41,yes,middle,39.012975,-125.358837,187,0.005,1566,0.26,0.22,0.04,0.5,0,0.25,292,197,231,3,yes,no,529.27,289,4,1530,16.2,0.0094,110,2,76,162,180,2150,7.2,7.2,12.7,3.3,11.8,84.9,6,2,35,93,1.5,0.2,7,3,6.6,1.2,0.176,1.33,10,61,29,silty.clay.loam,34.83,8.51,0,0,0,0,Soybean,1,L,0,0,0,0,0,0,0,1,0,0,0,0
28,42,yes,middle,39.014107,-125.365786,187,0.008,870,0.55,0.16,0.39,0.21,0,0.23,74,106,201,3,yes,no,73.17,212,7,816,4.9,0.0168,305,2.3,38,145,125,650,5.8,6.9,5.9,6.3,17.8,55.4,7,2,72,104,1.3,0.2,2,7,9.5,1.3,0.141,1.37,14,65,21,silt.loam,32.96,7.87,1,0,0,0,Corn,1,A,1,0,0,0,0,0,0,1,0,0,0,0
29,43,yes,middle,39.031367,-125.330728,183,0.002,1622,0,0,0,0.51,0,0.5,1008,204,26,2,yes,yes,423.09,610,4,1767,16.2,0.0109,699,1.9,41,164,105,1200,5.6,6.7,10.9,3.9,8,55.1,8,2,38,65,1.1,0.2,102,4,6.7,1.1,0.165,1.25,18,63,19,silt.loam,28.51,6.21,0,0,0,0,Corn,1,L,0,0,0,0,0,0,0,0,0,0,0,0
30,44,yes,middle,39.02386,-125.27258,189,0.002,1612,0,0,0,0.75,0.05,0.25,1988,189,305,4,yes,no,286.25,866,4,1568,16.2,0.0097,0,2.4,87,174,125,1650,6.7,6.9,10.9,4.1,9.5,75.4,9,2,35,133,1.6,0.3,27,4,8.3,1.4,0.167,1.34,12,65,23,silt.loam,34.81,6.41,1,1,0,0,Soybean,1,L,0,0,0,0,0,0,0,1,0,0,0,0
31,45,yes,middle,39.023873,-125.377389,189,0.003,1607,0,0,0,0.49,0.12,0.44,1877,202,201,3,yes,no,1016.37,1013,6,1552,15,0.0104,0,1.9,76,172,100,1150,6.6,6.9,8.2,5.4,10.1,69.9,8,2,35,126,1.2,0.2,25,4,7.5,1.1,0.146,1.35,14,67,19,silt.loam,32.97,6.58,1,1,0,0,Soybean,1,L,0,0,0,0,0,0,0,0,0,0,0,0
32,46,yes,bottom,39.027522,-125.377332,190,0.002,2422,0.05,0.05,0,0.45,0,0.5,2442,195,239,3,yes,yes,1207.65,674,8,2449,31.2,0.0079,1946,1.9,58,184,115,1500,6.4,6.9,10.1,4.7,9.5,74,9,2,43,95,1.4,0.3,71,4,6.9,1.1,0.153,1.4,16,63,21,silt.loam,33.07,7.3,0,1,1,0,Corn,1,M,0,1,0,0,0,0,0,0,0,0,0,0
33,47,yes,middle,39.020229,-125.368061,189,0,1329,0,0,0,0.22,0.08,0.71,960,137,0,0,yes,no,151.16,852,6,1326,11.3,0.0117,1696,2.5,75,253,140,1350,6.2,6.9,9.8,6.6,11.9,69.1,9,2,44,121,1.3,0.2,96,4,7.9,1.5,0.184,1.36,14,67,19,silt.loam,32.89,5.46,0,1,0,0,Corn,1,A,1,0,0,0,0,0,0,0,0,0,0,0
34,49,yes,bottom,39.02016,-125.374841,189,0,1188,0.05,0.05,0,0.83,0,0.17,944,206,18,2,no,no,0,698,4,1213,8.1,0.015,922,2.9,70,201,215,1700,5.9,6.7,14.4,3.6,12.4,59,8,2,29,145,1.7,0.2,82,4,10.3,1.7,0.164,1.34,14,61,25,silt.loam,34.65,6.71,1,1,1,0,Corn,1,M,0,1,0,0,0,0,0,0,1,0,0,0
35,50,yes,bottom,39.020749,-125.377337,189,0.006,1161,0.18,0.18,0,0.8,0,0.04,1153,220,94,1,yes,yes,0,156.06,7,1088,5.7,0.0192,0,2.5,44,217,120,1100,5.6,6.7,10.7,5.2,9.4,51.6,9,2,46,104,1.3,0.2,76,4,9.3,1.5,0.162,1.39,14,67,19,silt.loam,30.83,7.49,0,0,0,0,Corn,1,M,0,0,0,0,0,0,0,0,1,0,0,0
36,51,yes,middle,39.020249,-125.379691,189,0.005,1196,0,0,0,0.5,0,0.5,951,116,411,4,yes,no,267.86,240.49,4,1198,9.7,0.0123,112,2.6,61,180,115,1500,7.4,7.2,8.9,5.2,10.7,84.1,9,2,43,104,1.3,0.2,2,5,9.2,1.5,0.164,1.32,14,65,21,silt.loam,33.14,6.55,1,1,0,0,Soybean,1,L,0,0,0,0,0,0,0,0,0,0,0,0
37,52,yes,bottom,39.080927,-125.402341,190,0.003,923,0,0,0,0.62,0,0.38,864,53,447,5,yes,yes,230.61,783.99,4,890,3.8,0.0231,806,2.4,66,168,145,1350,6.9,7.2,8.5,5.1,14.2,79.3,13,10,50,96,1.3,0.7,12,4,8.2,1.4,0.169,1.36,16,63,21,silt.loam,31.33,8,0,0,0,0,Soybean,1,M,0,0,0,0,0,0,0,0,0,0,0,0
38,53,yes,middle,39.082905,-125.402038,191,0.012,1442,0,0,0,0.6,0.05,0.239944521,853,53,177,2,yes,no,772.79,1018.4,6,1480,8.9,0.0166,1316,2.6,84,224,195,1250,6.1,6.8,10.8,5.3,15,57.6,12,17,40,121,1.5,0.6,63,4,8.2,1.5,0.185,1.35,14,65,21,silt.loam,33.4,7.41,0,0,0,0,Corn,1,H,0,1,0,1,0,0,0,0,0,0,0,0
39,54,yes,middle,39.085762,-125.401737,190,0.005,1408,0,0,0,0.49,0,0.21,1500,209,0,0,yes,no,765.54,938.22,4,1393,11.7,0.0119,112,2.9,69,186,245,1250,5.8,6.7,12.4,3.9,16.5,50.5,10,9,43,77,1.2,0.6,107,5,7.9,1.7,2.13,1.36,10,67,23,silt.loam,33.39,7.47,0,0,0,0,Corn,1,M,0,0,0,0,0,0,0,1,1,0,0,0
40,55,yes,top,39.088319,-125.401859,189,0.005,1217,0,0,0,0.83,0,0.17,1718,187,386,3,yes,no,149.07,711.35,4,1227,8.5,0.0144,520,2.1,61,197,185,1100,6.3,6.9,8.7,5.8,17.6,62.9,12,9,47,67,1,0.8,14,4,7.2,1.2,0.17,1.42,14,63,23,silt.loam,33.42,8.94,0,0,0,0,Soybean,1,L,0,0,0,0,0,0,0,0,0,0,0,0
41,56,no,top,39.090135,-125.40176,188,0.005,1207,0,0,0,0.83,0,0.17,1917,184,346,4,yes,no,324.01,547.85,4,1187,8.1,0.0147,0,1.9,57,198,145,1100,6.6,6.9,8.4,6,14.4,65.4,10,11,49,54,1,0.7,8,3,6.2,1.1,0.177,1.4,14,65,21,silt.loam,32.99,6.59,0,0,0,1,Soybean,1,L,0,0,0,0,0,0,0,0,0,0,0,0
42,58,no,bottom,39.020276,-125.356893,186,0.004,1884,0,0,0,0.48,0,0.52,2215,196,178,4,yes,yes,448.96,142.98,4,1854,17.4,0.0106,1201,2.2,34,138,145,1250,6.1,6.8,10.2,3.5,11.8,61.2,8,4,49,54,1,0.4,71,4,7.2,1.3,0.178,1.32,12,69,19,silt.loam,28.15,7.68,0,0,0,0,Corn,1,L,0,0,0,0,0,0,0,0,0,0,0,0
43,59,no,top,39.017659,-125.363486,187,0.005,2119,0,0,0,0.21,0,0.79,598,185,78,2,yes,yes,645.38,249.02,5,2088,23.4,0.0089,110,2.3,62,158,130,1050,6.7,6.9,7.9,5.1,13.6,66.1,10,4,45,73,1.3,0.2,22,4,9,1.3,0.149,1.38,16,65,19,silt.loam,28.88,7.35,0,0,0,0,Soybean,1,M,0,0,0,0,0,0,0,0,0,0,0,0
44,60,no,bottom,39.07856,-125.307347,182,0.003,1564,0,0,0,0.5,0,0.5,719,187,59,1,yes,no,791.55,30.34,4,1586,15.4,0.0103,347,2.7,89,184,240,1850,6.6,6.9,12.9,3.7,15.5,71.6,8,4,30,134,1.7,0.3,10,3,8.8,1.6,0.177,1.23,8,61,31,silty.clay.loam,30.57,11.85,0,0,1,0,Soybean,1,A,1,0,0,0,0,0,0,0,0,0,0,0
45,61,no,bottom,39.031504,-125.321596,181,0.005,3195,0.08,0,0.08,0.25,0.12,0.48,783,350,439,5,yes,no,237.66,220.06,8,3179,43.8,0.0073,2331,1.9,42,124,110,1000,6,6.9,7.4,4.3,12.3,67.3,6,4,45,67,1,0.2,64,4,8.2,1.1,0.134,1.4,20,66,14,silt.loam,27.32,6.55,1,0,1,0,Corn,1,A,1,0,0,0,0,0,0,0,0,0,0,0
46,62,yes,middle,38.912223,-125.424047,186,0.002,1596,0,0,0,0.5,0.18,0.34,616,204,475,5,yes,no,217.34,780.7,8,1736,15.4,0.0113,1912,2,33,135,145,1200,6.8,7.2,7.8,4.4,15.5,77,6,4,45,63,1.1,0.7,11,3,7.7,1.2,0.15,1.37,16,68,16,silt.loam,28.94,7.74,0,0,0,0,Soybean,1,L,0,0,0,1,0,0,0,0,0,0,0,0
47,63,yes,bottom,38.912395,-125.420547,185,0.003,1590,0.29,0.22,0.07,0.28,0,0.44,445,186,0,0,yes,yes,412.86,430.45,9,1545,15.3,0.0101,1387,1.9,42,147,145,1100,6.1,6.9,8.3,4.5,14.6,66.4,11,4,43,75,1.2,0.4,45,3,7.1,1.1,0.155,1.38,20,62,18,silt.loam,27.71,8.09,0,0,0,0,Corn,1,M,0,0,0,1,0,0,1,0,0,0,0,0
48,64,yes,middle,38.945851,-125.559871,187,0.003,1956,0,0,0,0.55,0.02,0.479038855,1459,205,629,3,yes,yes,288.05,838.08,6,2012,16,0.0125,1679,2.1,35,118,175,1200,6.7,6.9,9,3.4,16.3,67,12,5,44,68,1.4,0.4,49,3,7.1,1.2,0.172,1.32,14,68,18,silt.loam,29.65,8.09,0,0,0,1,Corn,1,M,0,0,0,0,0,0,0,0,0,1,0,1
49,65,yes,bottom,38.954921,-125.588113,184,0.003,1830,0,0,0,0.3,0.16,0.56,561,220,30,0,yes,no,344.97,566.82,8,1808,20.7,0.0087,225,2.5,61,184,205,1250,6.6,6.9,9.6,4.9,17.7,64.9,9,3,39,86,1.3,0.3,65,3,9.7,1.5,0.149,1.3,18,66,16,silt.loam,27.23,8.54,0,0,0,1,Corn,0,L,0,0,0,0,0,0,0,0,1,0,1,0
50,66,yes,middle,38.989259,-125.60098,155,0.008,1409,0.44,0.44,0,0.3,0,0.27,397,212,100,1,yes,yes,376.24,179.21,14,1384,15.6,0.0089,5171,1.8,49,94,410,1900,7.9,7.2,13.2,1.8,26,72.2,8,5,82,62,2.1,0.9,18,3,7.3,1,0.13,1.38,20,56,24,silt.loam,27.27,9.65,0,0,0,1,Soybean,1,H,0,1,0,0,0,0,0,0,0,0,0,0
51,67,yes,middle,39.011325,-125.560132,177,0.003,1932,0.24,0.24,0,0.26,0,0.53,468,204,1294,10,yes,yes,493.94,448.45,4,1917,21.5,0.0089,1949,2.1,29,159,190,900,5.2,6.6,11.3,3.6,14,39.9,8,1,45,56,0.9,0.2,68,3,8.1,1.2,0.15,1.36,18,64,18,silt.loam,26.83,8.16,0,0,0,0,Corn,1,M,0,0,0,0,0,0,0,0,1,0,0,0
52,68,yes,bottom,39.036763,-125.402058,191,0.005,896,0.14,0.14,0,0.34,0.09,0.45,1017,95,14,1,yes,yes,713.55,934.91,4,965,5.5,0.0177,453,2.6,71,239,215,1400,7.2,7.2,9.4,6.5,19.1,74.4,9,9,46,84,1.6,1.2,18,4,9.4,1.5,0.161,1.36,16,66,18,silt.loam,29.77,8.82,0,1,1,0,Soybean,1,A,1,0,0,0,0,0,0,0,0,0,0,0
53,70,yes,bottom,39.031597,-125.421139,191,0.001,1820,0,0,0,0.94,0,0.06,3077,403,157,1,yes,yes,103.29,609.01,4,1775,7.6,0.0234,577,3.2,73,225,220,1700,6.5,6.9,12.1,4.8,15.1,70.2,11,12,36,119,1.9,1,73,3,8.6,1.9,0.216,1.31,14,62,24,silt.loam,29.22,11.24,0,0,1,0,Corn,1,L,0,0,0,0,0,0,0,0,0,0,0,0
54,71,yes,middle,39.03,-125.421096,193,0.01,1439,0,0,0,0.75,0,0.118832523,3337,106,489,5,yes,no,215.5,566.71,4,1398,8.9,0.0157,334,2.9,143,315,220,1750,7.2,7.2,11.4,7.1,16.1,76.8,13,16,40,136,2,1,49,4,8.4,1.7,0.2,1.33,18,62,20,silt.loam,30.35,8.56,0,0,1,0,Corn,1,L,0,0,0,0,0,0,0,0,0,0,0,0
