index,site.num,mgt.data,res.rank,nw.lat,nw.lon,elev.m,max.slope,tot.border.m,p.trees.bord,p.treerow.bord,p.forest.bord,p.ag.bord,p.house.bord,p.road,closest.forest.m,closest.road.m,bare.patch.m,bare.patch.num,grs.wtwy,trans.grswtwy,grass.waterway.m,nearest.stream.m,num.fld.corners,perim.m,ha,edge.interior,amata.sd.m2,SOC.pc,P.ppm,K.ppm,Mg.ppm,Ca.ppm,pH,buff.pH,CEC,K.pc,Mg.pc,Ca.pc,S.ppm,Zn.ppm,Mn.ppm,Fe.ppm,Cu.ppm,B.ppm,NO3.ppm,NH4.ppm,c.n.ratio,som.pc.comb,totN.pc,bulk.dens,sand.pc,silt.pc,clay.pc,texture,whc.0.33.bar,whc.15.bar,low.spot,watercourse.infld,watercourse.side,manure,crop.2010,border.wh.2010,amata.infest.2010,amata.absent.2010,amata.high.2010,ABUTH.2010,AMAsp.2010,AMBEL.2010,AMBTR.2010,CHEAL.2010,ERICA.2010,grass.2010,IPOHE.2010,SIDSP.2010,XANST.2010
55,72,yes,top,39.157394,-125.405585,183,0.012,1289,0.13,0.13,0,0.87,0,0,1126,513,616,5,yes,no,1154.39,386.87,6,1319,9.5,0.0139,890,2.4,82,183,135,1600,7,7.2,9.6,4.9,11.7,83.4,12,15,48,56,1.7,0.9,17,4,10.4,1.4,0.134,1.39,14,66,20,silt.loam,30.03,8.21,1,1,1,0,Soybean,1,L,0,0,1,0,0,0,0,0,0,1,0,0
56,74,yes,middle,39.159476,-125.410333,183,0.013,2675,0.08,0.08,0,0.83,0,0.08,571,535,204,8,yes,no,186.76,186.44,12,2637,25.1,0.0105,6275,2.3,28,153,155,1700,7.3,7.2,10.2,3.9,12.7,83.5,12,10,52,36,1.3,1,16,3,10,1.3,0.133,1.36,14,66,20,silt.loam,30.53,8.71,1,1,1,0,Soybean,1,L,0,0,1,0,0,0,0,0,0,1,0,0
57,75,yes,middle,39.162524,-125.410393,175,0.014,2260,0.05,0.02,0.03,0.82,0.13,0.13,711,411,125,2,yes,no,744.09,234.24,10,2249,26,0.0087,980,1.9,76,134,125,1600,7,7.2,9.4,3.7,11.1,85.2,13,15,54,68,1.6,1,31,3,10.3,1.1,0.107,1.34,14,68,18,silt.loam,29.5,7.57,0,0,1,1,Corn,1,L,0,0,0,0,0,0,0,0,0,0,0,0
58,76,yes,middle,39.164702,-125.41032,178,0.008,2421,0,0,0,0.91,0.08,0.41,5476,228,336,5,yes,no,720.06,577.57,6,2397,31.4,0.0076,4971,1.7,80,160,155,1350,7,7.2,8.5,4.9,15.3,79.9,13,12,50,87,1.4,0.8,13,3,9.1,1,0.108,1.37,18,64,18,silt.loam,28.91,6.93,1,0,0,0,Soybean,1,A,1,0,0,0,0,0,0,0,0,0,0,0
59,77,yes,middle,39.164821,-125.405386,179,0.008,1621,0,0,0,0.75,0,0.25,5670,244,251,2,yes,yes,802.67,405.53,4,1610,16.2,0.0099,1742,2.3,62,171,135,1450,7.1,7.2,8.8,5,12.8,82.3,12,13,51,78,1.6,1,5,3,10.3,1.3,0.13,1.36,16,64,20,silt.loam,28.55,7.51,0,0,0,0,Soybean,1,L,0,0,0,0,0,0,0,0,0,0,0,0
60,78,yes,middle,39.168485,-125.405309,182,0,1214,0,0,0,0.83,0,0.33,6023,97,0,0,yes,yes,403.37,741.34,4,1196,8,0.015,887,2.3,61,164,135,1150,6.4,6.9,8.5,4.9,13.2,67.7,10,14,43,94,1.2,0.6,25,3,13.3,1.3,0.1,1.36,18,66,16,silt.loam,27.22,6.63,0,0,0,0,Corn,1,A,1,0,0,0,0,0,0,0,0,0,0,0
61,79,yes,top,39.168761,-125.400712,182,0,2377,0,0,0,0.5,0,0.5,6195,198,144,3,yes,yes,1339.21,943.3,4,2390,32,0.0075,809,2.5,44,121,115,1500,7.3,7.2,8.8,3.5,10.9,85.5,8,10,52,54,1.2,0.9,7,2,12.8,1.5,0.113,1.37,18,64,18,silt.loam,27.75,7.14,0,0,0,0,Soybean,1,L,0,0,0,0,0,0,0,0,0,0,0,0
62,80,yes,middle,39.171944,-125.414811,181,0.005,1598,0.03,0.03,0,0.75,0,0.25,5669,216,34,1,yes,yes,477.56,312.33,4,1567,15.6,0.01,1239,2.3,51,135,145,1450,7,7.2,8.8,3.9,13.7,82.3,11,10,42,91,1.3,0.4,20,3,21.5,1.3,0.062,1.38,18,64,18,silt.loam,26.75,6.96,0,0,0,0,Soybean,1,M,0,0,0,0,0,0,0,0,0,0,0,0
63,81,yes,bottom,39.171862,-125.419549,179,0.011,1247,0.43,0.43,0,0.25,0,0.32,1345,112,210,2,yes,yes,279.44,120,10,1360,7.6,0.0179,2994,1.9,72,151,130,1300,6.6,6.9,9.2,4.2,11.8,70.9,9,14,34,85,1.4,0.4,23,4,9.3,1.1,0.119,1.36,15,66,19,silt.loam,27.45,7.11,0,1,0,0,Corn,1,L,0,0,0,0,0,0,0,0,1,0,0,0
64,82,yes,middle,39.168025,-125.424041,178,0,523,0.42,0.42,0,0.37,0,0.22,582,54,82,3,yes,yes,190.54,34,6,547,1.4,0.0397,2979,2.7,44,142,165,1650,6.6,6.9,11.2,3.3,12.3,73.7,9,12,34,78,1.4,0.7,20,4,11.3,1.6,0.138,1.33,17,63,20,silt.loam,28.03,7.91,0,1,0,0,Sunflower,1,L,0,0,0,0,1,0,0,1,1,0,1,0
65,83,yes,bottom,39.168037,-125.426182,177,0.007,2772,0.35,0.35,0,0.65,0,0.1,1045,454,224,4,yes,yes,1446.65,287.5,7,2688,32.3,0.0083,0,2.5,58,147,165,1550,7,7.2,9.5,4,14.5,81.6,9,10,39,69,2,0.6,39,4,11.6,1.5,0.106,1.36,17,65,18,silt.loam,28.47,7.08,0,1,1,0,Corn,1,L,0,0,0,0,0,0,0,0,0,0,0,0
66,84,yes,bottom,39.175702,-125.409982,181,0.003,2257,0,0,0,1,0,0,5336,476,415,4,yes,yes,1295.36,296.64,9,2220,29,0.0076,589,1.6,66,194,195,1500,6.9,7.2,9.8,5.1,16.6,76.8,9,12,37,70,1.5,0.9,32,4,6.4,0.9,0.144,1.35,19,63,18,silt.loam,26.88,7.29,1,1,1,0,Corn,1,M,0,0,0,0,0,0,0,0,0,0,0,0
67,85,yes,middle,39.177131,-125.419116,179,0,585,0,0,0,0.65,0,0.35,4892,54,75,1,yes,yes,202.27,124.98,4,626,4.7,0.0134,366,2.2,82,133,190,1450,7,7.2,9.2,3.7,17.3,79,9,9,37,105,1.6,0.5,9,4,8,1.3,0.16,1.31,15,65,20,silt.loam,29.74,7.68,1,0,1,0,Soybean,1,M,0,0,0,0,0,0,0,0,0,1,0,0
68,86,yes,top,39.179362,-125.409942,181,0.004,1672,0,0,0,1,0,0,5340,589,32,1,yes,yes,322.35,181.14,6,1896,20.3,0.0093,39,2.4,61,154,150,1600,7.5,7.2,9.6,4.1,13,82.9,8,8,46,81,1.4,0.9,5,4,12.9,1.4,0.108,1.39,17,63,20,silt.loam,26.7,7.31,0,1,1,0,Soybean,1,M,0,0,0,0,0,0,0,0,0,0,0,0
69,87,yes,middle,39.180954,-125.417124,180,0.005,1118,0,0,0,0.73,0.12,0.13,2349,144,41,4,yes,no,166.8,174.59,7,1100,5.5,0.0199,233,2.2,78,179,190,1500,6.9,7.2,9.7,4.7,16.3,77.4,9,15,48,74,1.7,1,12,4,9.2,1.3,0.138,1.27,15,65,20,silt.loam,28.45,8.11,0,0,1,0,Soybean,1,M,0,0,0,0,0,0,0,0,0,0,0,0
70,88,yes,middle,39.182732,-125.419355,180,0.005,1602,0,0,0,0.76,0,0.24,2491,218,103,2,yes,no,404.04,596.12,4,1575,15.7,0.01,2556,2.5,57,105,185,1550,7.3,7.2,9.6,2.8,16.1,81.1,10,6,45,70,1.5,0.7,18,4,12.5,1.5,0.116,1.38,15,65,20,silt.loam,26.91,6.9,0,1,0,0,Corn,1,L,0,0,0,0,0,0,0,0,0,0,1,0
71,89,yes,middle,39.190426,-125.409918,181,0.005,2412,0.03,0.03,0,0.47,0,0.5,2089,207,961,7,yes,yes,2139.49,16.05,4,2387,31.2,0.0076,426,2.3,49,141,165,1350,7.3,7.2,8.5,4.3,16.2,79.5,9,10,43,53,1.1,1.1,7,3,12.5,1.3,0.107,1.38,17,63,20,silt.loam,28.04,7.49,0,1,0,0,Soybean,1,M,0,0,0,0,0,0,0,0,0,0,0,0
72,90,yes,middle,39.19397,-125.409858,181,0.005,2428,0.04,0.04,0,0.5,0,0.46,2867,242,277,2,yes,yes,1464.26,392.65,4,2402,16.9,0.0142,155,2.5,62,120,155,1300,7,7.2,8.1,3.8,15.9,80.3,13,12,41,82,1.2,0.9,19,5,11.8,1.5,0.123,1.38,19,61,20,silt.loam,26.56,7.25,1,1,1,0,Corn,1,L,0,0,0,0,0,0,0,0,0,0,0,0
73,91,yes,top,39.195828,-125.409471,181,0.005,2428,0.04,0.04,0,0.5,0,0.46,2867,242,277,2,yes,yes,1464.26,392.65,4,2402,16.9,0.0142,155,2.5,62,120,155,1300,7,7.2,8.1,3.8,15.9,80.3,13,12,41,82,1.2,0.9,19,5,11.8,1.5,0.123,1.38,19,61,20,silt.loam,26.56,7.25,1,1,1,0,Soybean,1,L,0,0,0,0,0,0,0,0,0,0,0,0
74,92,yes,top,39.197704,-125.414306,179,0.008,1945,0.37,0.37,0,0.52,0,0.2,2475,328,277,6,yes,no,1024.36,212.36,11,1976,20.6,0.0096,470,2.1,55,144,150,1250,7.3,7.2,7.9,4.7,15.9,79.4,8,11,50,68,1,0.7,2,6,8.6,1.2,0.141,1.39,13,71,16,silt.loam,27.41,7.15,1,1,1,0,Soybean,1,M,0,0,0,0,0,0,0,0,0,0,0,0
75,93,yes,middle,39.167601,-125.438573,178,0.003,1479,0.09,0.09,0,0.44,0,0.46,2716,88,345,4,yes,yes,655.53,70.59,6,1442,11.6,0.0124,2532,2,47,128,170,1600,7.3,7.2,9.7,3.4,14.5,82.1,12,7,36,89,1.3,1.1,20,3,9.1,1.2,0.128,1.39,19,59,22,silt.loam,25.8,7.82,0,1,0,0,Soybean,1,M,0,0,0,0,0,0,0,0,0,0,0,0
76,94,yes,middle,39.169309,-125.438655,178,0.003,1908,0,0,0,0.49,0,0.51,3122,205,48,3,yes,yes,2309.23,284.44,4,1870,10,0.0187,4103,1.9,53,129,200,1500,7,7.2,9.5,3.5,17.5,79,10,9,37,77,2,0.6,25,3,7.1,1.1,0.156,1.36,15,63,22,silt.loam,25.97,7.47,0,1,0,0,Corn,1,M,0,1,0,0,0,0,0,0,1,0,1,0
77,95,yes,top,39.169793,-125.442455,177,0.005,1434,0.16,0.16,0,0.69,0,0.12,2219,297,359,4,yes,yes,565.43,250.85,8,1412,8.8,0.0161,1972,2.1,65,227,180,1550,7.2,7.2,9.8,5.9,15.3,78.8,8,12,44,88,1.4,1.1,16,3,8.5,1.2,0.143,1.37,17,61,22,silt.loam,28.1,7.91,0,1,0,0,Soybean,1,L,0,0,0,0,0,0,0,0,0,0,0,0
78,96,yes,middle,39.174753,-125.443032,177,0.002,2017,0,0,0,0.7,0,0.3,1736,175,0,0,yes,no,175.65,568.44,4,1976,23.8,0.0083,116,2.4,55,146,180,1450,7.5,7.2,9.1,4.1,16.4,79.5,10,10,47,82,1.3,0.6,13,3,10.2,1.4,0.137,1.39,19,61,20,silt.loam,27.55,6.85,1,0,0,0,Soybean,1,L,0,0,0,0,0,0,0,1,0,0,0,0
79,97,yes,middle,39.17463,-125.450116,176,0,1189,0,0,0,0.83,0,0.17,1716,185,21,1,yes,yes,299.92,437.46,4,1174,7.8,0.0151,309,1.9,56,148,125,1400,7.3,7.2,8.4,4.5,12.4,83.1,11,10,44,104,1.4,0.7,15,4,7.8,1.1,0.142,1.38,17,63,20,silt.loam,27.18,7.18,1,1,1,0,Soybean,1,A,1,0,0,0,0,0,0,0,1,1,1,0
80,98,yes,middle,39.174658,-125.452518,175,0.003,1594,0,0,0,0.5,0,0.5,1751,201,0,0,yes,no,211.13,358.58,4,1579,7.9,0.0199,881,1.9,42,121,120,1250,7,7.2,7.6,4.1,13.2,82.7,8,9,43,82,1.2,0.9,16,3,7.7,1.1,0.143,1.37,19,65,16,silt.loam,26.96,6.25,0,0,1,0,Corn,1,L,0,0,0,0,0,0,0,0,1,1,1,0
81,100,yes,middle,39.178165,-125.461953,174,0.003,2394,0.01,0.01,0,0.5,0,0.673767753,655,194,0,0,yes,yes,1336.94,512.76,4,2411,16.4,0.0147,239,2.6,75,171,155,1550,6.6,6.9,10.7,4.1,12.1,72.6,11,12,36,91,1.3,1.2,33,4,9.7,1.5,0.156,1.34,17,63,20,silt.loam,31.36,8.06,1,0,1,0,Corn,0,A,1,0,0,0,1,0,0,0,1,1,0,0
82,101,yes,bottom,39.158421,-125.374105,182,0.009,698,0,0,0,1,0,0,3851,440,8,1,yes,yes,130.93,103.97,5,668,2.1,0.0312,744,2.4,41,110,130,1600,7.1,7.2,9.4,3,11.6,85.4,9,5,35,55,1.1,0.8,30,3,8.7,1.4,0.16,1.34,17,63,20,silt.loam,31.94,8.01,0,0,1,0,Corn,1,H,0,1,0,0,0,0,0,0,1,1,1,0
83,102,yes,middle,39.158476,-125.377414,181,0.004,1053,0,0,0,0.78,0,0.22,3505,151,160,4,yes,yes,511.54,100.76,6,996,2.3,0.0439,983,2.7,59,140,165,1400,6.9,7.2,8.9,4,15.5,78.9,9,10,39,49,1,0.9,31,3,10.6,1.6,0.148,1.35,17,65,18,silt.loam,29.14,7.42,0,0,1,0,Corn,1,H,0,1,0,0,0,0,0,0,1,1,0,0
84,103,yes,middle,39.161904,-125.37405,182,0.004,1374,0,0,0,1,0,0,1546,445,0,0,yes,no,79.7,202.71,6,1288,6,0.0213,259,2.2,42,126,185,1500,6.8,7.2,9.7,3.3,16,77.7,9,9,42,51,1.2,0.8,28,3,9,1.3,0.141,1.37,17,65,18,silt.loam,28.2,7.98,0,0,1,0,Corn,1,L,0,0,0,0,0,0,0,0,1,0,1,0
85,104,yes,middle,39.161957,-125.371728,183,0.002,1616,0,0,0,1,0,0,838,616,0,0,yes,yes,132.45,595.03,4,1615,9.7,0.0167,75,2.5,39,143,205,1000,6.4,6.9,8.3,4.4,20.6,60.4,8,10,45,59,1,0.8,24,3,10.3,1.5,0.141,1.35,15,69,16,silt.loam,28.28,6.98,0,0,1,0,Corn,1,A,1,0,0,0,0,0,0,0,1,0,1,0
86,105,yes,top,39.162019,-125.376495,182,0.005,1877,0,0,0,0.63,0.08,0.29,723,207,0,0,yes,yes,306.61,473.99,4,1848,16.3,0.0113,257,2.5,43,145,135,1550,7.2,7.2,9.2,4,12.2,83.8,10,9,59,64,1.3,0.9,2,3,9.6,1.5,0.151,1.32,13,65,22,silt.loam,31.16,8.88,1,0,1,0,Soybean,1,A,1,0,0,0,0,0,0,0,0,0,0,0
87,106,yes,middle,39.159286,-125.383653,181,0.015,1624,0,0,0,1,0,0,711,516,0,0,yes,yes,201.61,132.18,5,1651,21.4,0.0077,406,2.7,46,136,160,1300,6.6,6.9,9.4,3.7,14.2,69.3,12,9,40,72,1.3,1,31,3,11.7,1.6,0.134,1.33,19,63,18,silt.loam,30.03,7.73,0,0,1,0,Corn,1,L,0,0,0,0,0,0,0,0,1,1,1,0
88,108,yes,bottom,39.160537,-125.381174,180,0.005,2251,0,0,0,0.79,0,0.175477566,831,255,138,3,no,no,0,220.12,7,2293,20.2,0.0114,74,2.9,31,167,160,1600,6.3,6.9,11,3.9,12.2,73,9,10,47,54,1.4,0.7,64,3,11.1,1.7,0.151,1.35,17,63,20,silt.loam,30.66,9.31,0,0,1,0,Corn,1,L,0,0,0,0,0,0,0,0,1,1,1,0
89,110,yes,middle,39.131072,-125.42921,182,0.002,1599,0.08,0.08,0,0.92,0,0,300,594,0,0,yes,no,312.3,466.89,4,1597,16.2,0.0098,1008,2.7,46,145,180,1550,7,7.2,9.6,3.9,15.6,80.5,15,7,52,89,1.3,0.6,55,3,9.6,1.6,0.163,1.38,19,63,18,silt.loam,29.95,7.45,1,1,0,0,Corn,1,L,0,0,0,1,0,0,0,0,1,1,0,0
90,114,yes,bottom,39.124222,-125.407623,186,0.01,992,0,0,0,0.91,0,0.09,1087,218,0,0,no,no,0,862.17,4,984,3.7,0.0266,2271,2.9,55,267,170,1500,7.1,7.2,9.6,7.1,14.8,78.1,16,5,59,36,1.1,0.7,57,3,9.9,1.7,0.17,1.34,17,61,22,silt.loam,28.31,8.28,0,0,0,1,Corn,1,A,1,0,0,0,0,0,0,0,0,1,0,0
91,115,yes,middle,39.124242,-125.40877,186,0.003,1444,0.11,0.11,0,0.61,0.11,0.16,913,226,184,1,no,no,0,841.56,6,1263,9.5,0.0132,1801,3,121,190,200,1650,6.8,7.2,10.7,4.5,15.5,76.9,10,9,38,120,2,0.9,57,3,10.3,1.7,0.169,1.31,19,61,20,silt.loam,27.87,8.08,0,0,0,1,Corn,1,L,0,0,0,0,0,0,0,0,0,0,0,0
92,117,yes,middle,39.139142,-125.397413,185,0.005,1362,0.22,0.22,0,0.29,0,0.5,2420,157,0,0,no,no,0,437.47,4,1352,11.6,0.0117,603,2.8,59,130,185,1750,7.1,7.2,10.6,3.1,14.5,82.4,8,6,35,95,1.6,0.3,7,2,9.2,1.6,0.176,1.33,17,61,22,silt.loam,29.09,8.97,0,1,1,0,Corn,1,A,1,0,0,0,0,0,0,0,0,0,0,0
93,118,yes,middle,39.078371,-125.376932,192,0.004,1159,0,0,0,1,0,0,1581,291,0,0,yes,yes,108.88,444.6,5,1170,5.7,0.0205,6527,3.2,53,130,180,1550,6.2,6.8,12,2.8,12.5,64.7,9,4,34,100,1.5,0.3,78,3,11.1,1.9,0.167,1.33,19,61,20,silt.loam,28.57,8.14,0,0,0,0,Corn,1,L,0,0,0,0,0,0,0,0,0,0,0,0
94,119,yes,bottom,39.07836,-125.379552,191,0.006,781,0,0,0,0.64,0.1,0.26,1736,95,0,0,no,no,0,319.52,6,766,3.9,0.0197,18331,2.8,82,139,220,1850,7,7.2,11.4,3.1,16,80.9,8,7,35,86,1.6,0.4,44,3,10.2,1.6,0.159,1.29,19,57,24,silt.loam,27.26,8.73,0,0,0,0,Corn,1,M,0,0,0,0,0,0,0,0,0,0,0,0
95,120,yes,middle,39.08038,-125.378063,191,0.006,918,0,0,0,0.81,0.19,0,1682,215,0,0,yes,yes,216.56,273.4,5,900,5.1,0.0175,4060,2.6,84,174,180,1500,6.7,6.9,10.6,4.2,14.1,70.4,10,8,35,113,1.7,0.5,43,3,9.4,1.5,0.16,1.25,13,63,24,silt.loam,26.97,7.47,0,0,0,0,Corn,1,M,0,0,0,0,0,0,0,0,0,0,0,0
96,121,yes,top,39.078832,-125.382034,192,0.002,1366,0,0,0,0.84,0.04,0.12,1369,251,162,4,no,no,0,251.89,6,1361,9.8,0.0139,412,3,94,138,210,1900,7,7.2,11.6,3,15.1,81.9,7,7,30,113,1.8,0.3,31,6,7.4,1.7,0.234,1.12,15,61,24,silt.loam,28.98,9.29,0,0,0,0,Soybean,1,L,0,0,0,0,0,0,0,0,0,0,0,0
97,122,yes,middle,39.125668,-125.36732,186,0.005,1994,0.04,0.04,0,0.76,0,0.2,499,394,0,0,yes,yes,226.07,399.32,8,1986,15.7,0.0127,4716,2.3,94,137,150,1350,7,7.2,8.4,4.2,15,80.8,9,7,43,113,1.5,0.2,17,6,7.9,1.3,0.168,1.37,19,61,20,silt.loam,26.65,6.29,1,1,1,0,Soybean,1,M,0,0,0,0,0,0,0,0,0,0,0,0
98,123,yes,middle,39.12572,-125.369656,185,0.006,1085,0,0,0,0.82,0,0.18,697,142,0,0,no,no,0,369.57,4,1045,8.6,0.0121,1356,2.3,34,121,160,1350,7,7.2,8.4,3.7,15.9,80.4,8,4,48,56,1.2,0.4,9,4,7.5,1.3,0.179,1.38,19,63,18,silt.loam,26.13,6.87,1,1,1,0,Corn,1,L,0,0,0,0,0,0,0,1,1,1,1,0
99,124,yes,middle,39.128916,-125.369691,184,0.005,799,0,0,0,1,0,0,435,382,0,0,yes,yes,148.88,186.16,4,732,2.1,0.0353,1387,2.7,39,154,140,1250,6.4,6.9,9,4.4,12.9,69.4,9,3,46,64,1.3,0.2,51,4,10.1,1.6,0.155,1.39,19,65,16,silt.loam,26.37,6.58,1,1,1,0,Corn,1,A,1,0,0,0,0,0,0,0,0,0,1,0
100,125,yes,middle,39.130761,-125.369718,184,0.007,533,0.26,0.26,0,0.74,0,0,250,207,0,0,yes,no,149.18,104.39,8,614,3.7,0.0168,150,2.6,44,134,130,1000,6.3,6.9,7.6,4.5,14.2,65.6,7,4,46,81,1.3,0.3,14,4,12.6,1.5,0.12,1.38,17,67,16,silt.loam,26.36,5.89,1,1,1,0,Corn,1,A,1,0,0,0,0,0,0,0,1,0,1,0
101,127,yes,bottom,39.066129,-125.387467,190,0.004,1861,0.1,0.1,0,0.3,0.05,0.55,515,241,0,0,no,no,0,319.1,6,1862,20.2,0.0092,1311,2.4,56,117,195,1750,7.4,7.2,10.7,2.8,15.2,82,9,4,40,61,1.3,0.6,34,3,9.1,1.4,0.153,1.42,25,59,16,silt.loam,27.06,6.83,0,0,0,0,Corn,1,M,0,0,0,0,0,0,0,0,0,0,0,0
102,128,yes,middle,39.071459,-125.386327,192,0.003,2554,0.24,0.24,0,0.42,0.08,0.26,960,220,0,0,no,no,0,281.43,16,2631,28.9,0.0091,1178,2.7,36,116,120,1350,6.9,7.2,8.2,3.6,12.2,82.6,9,2,50,47,1.1,0.3,32,3,8,1.6,0.195,1.24,19,63,18,silt.loam,28.66,7.2,0,0,0,0,Soybean,1,L,0,0,0,0,0,0,0,1,0,0,0,0
103,129,yes,middle,39.1221,-125.325636,185,0.006,1553,0.32,0,0.32,0.22,0,0.46,125,186,39,3,no,no,0,452.8,11,1576,13.1,0.0121,292,2.8,35,129,90,950,6,6.9,7,4.7,10.7,67.6,9,2,50,85,1,0.3,21,3,11,1.6,0.148,1.41,15,69,16,silt.loam,30.53,6.59,1,0,1,0,Corn,0,L,0,0,0,0,1,0,0,0,1,1,1,1
104,132,yes,middle,39.158365,-125.329968,182,0.007,2392,0.24,0,0.24,0.16,0.09,0.61,300,198,0,0,yes,no,202.29,352.05,12,2377,27.8,0.0086,482,2.5,30,155,100,750,5.5,6.8,7.4,5.4,11.3,50.8,6,2,56,39,0.9,0.2,58,5,10.1,1.5,0.144,1.39,19,65,16,silt.loam,28.27,6.07,0,0,0,0,Corn,0,A,1,0,0,0,0,0,0,0,1,0,1,0
105,133,yes,top,39.156055,-125.325271,175,0.012,3096,0.184108527,0.06,0.54,0.06,0,0.293281654,171,267,0,0,yes,no,326.29,308.96,21,3494,42.2,0.0083,231,2.6,26,109,155,1200,6.9,7.2,7.7,3.6,16.8,78.1,7,2,57,28,1,0.2,5,3,11.7,1.5,0.129,1.4,19,65,16,silt.loam,28.5,6.74,1,1,0,0,Soybean,1,A,1,0,0,0,0,0,0,0,0,0,0,0
106,134,yes,bottom,39.014149,-125.521477,183,0.003,1414,0.21,0,0.21,0.56,0,0.23,119,157,0,0,no,no,0,566.18,9,1407,11,0.0128,384,3,57,213,230,1150,6.6,6.9,9.4,5.8,20.4,61.1,10,8,50,71,1.3,0.6,54,4,10.9,1.7,0.16,1.3,21,63,16,silt.loam,29.33,7.39,0,1,1,0,Corn,1,M,0,0,0,0,0,0,0,0,0,0,0,0
107,135,yes,top,39.023908,-125.530577,180,0.004,1422,0.35,0,0.35,0,0.09,0.56,70,128,0,0,no,no,0,772.39,13,1417,7.3,0.0194,903,2.9,50,296,125,900,6.1,6.9,7.5,10.1,13.9,60,8,2,48,66,1.1,0.2,6,3,10.3,1.7,0.163,1.34,21,59,20,silt.loam,29.85,7.48,0,1,1,0,Soybean,1,M,0,0,0,0,0,0,0,0,0,0,0,0
108,136,yes,bottom,39.007947,-125.534181,183,0.008,2090,0.75,0,0.75,0,0.17,0.08,110,208,0,0,no,no,0,309.4,37,3144,18.7,0.0169,817,2.7,45,205,150,1300,7.3,7.2,8.3,6.4,15.1,78.5,20,2,63,102,1.2,0.3,35,3,10.4,1.6,0.15,1.36,19,61,20,silt.loam,30.69,7.22,0,1,0,0,Corn,1,M,0,0,0,0,0,0,0,0,0,0,0,0
109,137,yes,top,39.004265,-125.531157,182,0.004,1574,0.27,0.07,0.2,0.14,0.17,0.42,243,154,0,0,yes,no,163.77,380.24,12,1679,13.4,0.0125,631,2.3,66,167,110,1000,6.7,6.9,7.5,5.7,12.1,66.3,10,6,55,100,1.3,0.3,39,2,9.7,1.3,0.137,1.42,25,61,14,silt.loam,30.14,5.69,0,0,1,0,Corn,1,M,0,0,0,0,0,0,0,0,0,0,0,0
110,139,yes,top,39.000546,-125.537685,184,0.005,1951,0,0,0,0.83,0.09,0.08,496,415,0,0,no,no,0,663.71,6,1950,14.4,0.0136,2536,3.3,155,290,360,1950,7.5,7.2,13.5,5.5,22.2,72.3,10,12,37,96,2.1,1.3,15,3,8.5,1.9,0.225,1.28,21,59,20,silt.loam,32.77,9.08,1,0,1,0,Soybean,1,L,0,0,0,0,0,0,0,0,0,0,0,0
111,140,yes,middle,39.002382,-125.535752,184,0.004,2757,0,0,0,0.79,0,0.21,513,251,0,0,no,no,0,495.72,6,2738,34.1,0.008,2056,2.6,70,211,485,3150,7.7,7.2,20.3,2.7,19.9,77.5,10,8,40,81,1.6,0.6,64,4,8.6,1.5,0.176,1.33,15,69,16,silt.loam,30.9,6.47,1,0,1,0,Corn,1,A,1,0,0,0,0,0,0,0,0,0,0,0
112,141,yes,top,39.012091,-125.549567,180,0.002,1579,0.45,0.45,0,0,0.21,0.34,241,192,0,0,no,no,0,437.83,6,1549,13.8,0.0112,112,2.5,37,280,120,900,5.7,6.8,8.6,8.3,11.6,52.2,8,2,42,79,1.2,0.2,15,5,8.4,1.5,0.172,1.37,18,63,1,silt.loam,32.3,7.09,0,0,0,0,Soybean,1,L,0,0,0,0,0,0,0,0,0,0,0,0
