Depth (cm),Original Distribution,Pass 1,,,,,,,,
Implement Used,None,Field Cultivator,,proportion,,sum_proportion,,,,
0 cm,1600,1037,,0.216041667,,0.597083333,,top remained top,,
1 cm,1600,844,,0.175833333,,,,,,
2 cm,1600,985,,0.205208333,,,,,,
3 cm,0,540,,0.1125,,0.4,,top moved down,,
4 cm,0,520,,0.108333333,,,,,,
5 cm,0,501,,0.104375,,,,,,
6 cm,0,284,,0.059166667,,,,,2 by 2 matrix,
7 cm,0,75,,0.015625,,,,,0.597083333,0.101041667
8 cm,0,0,,0,,,,,0.4,0.891666667
9 cm,0,0,,0,,,,,,
10 cm,0,0,,0,,,,,,
11 cm,0,0,,0,,,,,,
12 cm,0,0,,0,,,,,,
13 cm,0,0,,0,,,,,,
14 cm,0,0,,0,,,,,,
15 cm,0,0,,0,,,,,,
16 cm,0,0,,0,,,,,,
17 cm,0,0,,0,,,,,,
18 cm,0,0,,0,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Depth (cm),Original Distribution,Pass 1,,,,,,,,
Implement Used,None,Field Cultivator,,,,,,,,
0 cm,0,159,,0.033125,,0.101041667,,bottom moved up,,
1 cm,0,181,,0.037708333,,,,,,
2 cm,0,145,,0.030208333,,,,,,
3 cm,300,179,,0.037291667,,0.891666667,,bottom remained bottom,,
4 cm,300,182,,0.037916667,,,,,,
5 cm,300,285,,0.059375,,,,,,
6 cm,300,237,,0.049375,,,,,,
7 cm,300,456,,0.095,,,,,,
8 cm,300,217,,0.045208333,,,,,,
9 cm,300,87,,0.018125,,,,,,
10 cm,300,309,,0.064375,,,,,,
11 cm,300,239,,0.049791667,,,,,,
12 cm,300,289,,0.060208333,,,,,,
13 cm,300,300,,0.0625,,,,,,
14 cm,300,300,,0.0625,,,,,,
15 cm,300,300,,0.0625,,,,,,
16 cm,300,300,,0.0625,,,,,,
17 cm,300,300,,0.0625,,,,,,
18 cm,300,300,,0.0625,,,,,,