"Plot","Side","Crop_ID","Corn_weed_management","Sample_weight_gram","Sample_soil_analysis_gram","Sample_elutriated_gram","Elutriated_area_m2","Conversion_factor","Strata","Total_viable_density_check","AMATA_total_viable","AMATA_readily_germinable","AMATA_dormant","AMATA_dead","Year","Block","Crop","Rotation","AMATA_total_viable_density","AMATA_readily_germinable_density","AMATA_dormant_density","AMATA_dead_density","Community_total_viable_density"
"11","W","O3","conv",624.9,44.5,580.4,0.00799,125.1564456,"Top",NA,14,13,1,12,"2019","1","oat","3-year",1752.1902384,1627.0337928,125.1564456,1501.8773472,5632.040052
"11","E","O3","low",699.9,50,649.9,0.00799,125.1564456,"Top",NA,68,51,17,99,"2019","1","oat","3-year",8510.6383008,6382.9787256,2127.6595752,12390.4881144,13892.3654616
"12","W","C4","conv",807.4,42.1,765.3,0.00815,122.6993865,"Top",NA,2,2,0,3,"2019","1","corn","4-year",245.398773,245.398773,0,368.0981595,736.196319
"12","E","C4","low",789.9,42.3,747.6,0.00814,122.8501229,"Top",NA,1,1,0,5,"2019","1","corn","4-year",122.8501229,122.8501229,0,614.2506145,737.1007374
"13","W","S2","low",594.9,42.7,552.2,0.00798,125.3132832,"Top",NA,7,2,5,11,"2019","1","soybean","2-year",877.1929824,250.6265664,626.566416,1378.4461152,4511.2781952
"13","E","S2","conv",654,41.8,612.2,0.00805,124.2236025,"Top",NA,3,1,2,14,"2019","1","soybean","2-year",372.6708075,124.2236025,248.447205,1739.130435,621.1180125
"14","W","O4","low",721.7,45.7,676,0.00806,124.0694789,"Top",NA,145,91,54,200,"2019","1","oat","4-year",17990.0744405,11290.3225799,6699.7518606,24813.89578,29776.674936
"14","E","O4","conv",859.5,46.5,813,0.00813,123.00123,"Top",NA,170,138,32,113,"2019","1","oat","4-year",20910.2091,16974.16974,3936.03936,13899.13899,30504.30504
"15","W","S3","conv",815.6,50.7,764.9,0.00807,123.9157373,"Top",NA,4,4,0,8,"2019","1","soybean","3-year",495.6629492,495.6629492,0,991.3258984,1115.2416357
"15","E","S3","low",872.3,45.9,826.4,0.00815,122.6993865,"Top",NA,1,1,0,1,"2019","1","soybean","3-year",122.6993865,122.6993865,0,122.6993865,368.0981595
"16","W","C3","conv",699.9,41.5,658.4,0.00809,123.6093943,"Top",NA,16,13,3,26,"2019","1","corn","3-year",1977.7503088,1606.9221259,370.8281829,3213.8442518,2348.5784917
"16","E","C3","low",683.2,42.7,640.5,0.00806,124.0694789,"Top",NA,18,15,3,42,"2019","1","corn","3-year",2233.2506202,1861.0421835,372.2084367,5210.9181138,3225.8064514
"17","W","A4","low",672.9,42.3,630.6,0.00806,124.0694789,"Top",NA,84,45,39,117,"2019","1","alfalfa","4-year",10421.8362276,5583.1265505,4838.7096771,14516.1290313,16129.032257
"17","E","A4","conv",963.1,43,920.1,0.00822,121.6545012,"Top",NA,42,35,7,87,"2019","1","alfalfa","4-year",5109.4890504,4257.907542,851.5815084,10583.9416044,18734.7931848
"18","W","S4","low",394,42.7,351.3,0.00767,130.3780965,"Top",NA,2,2,0,6,"2019","1","soybean","4-year",260.756193,260.756193,0,782.268579,1303.780965
"18","E","S4","conv",612.8,45.5,567.3,0.00796,125.6281407,"Top",NA,2,2,0,4,"2019","1","soybean","4-year",251.2562814,251.2562814,0,502.5125628,2010.0502512
"19","W","C2","low",886.6,40.7,845.9,0.00821,121.8026797,"Top",NA,126,124,2,239,"2019","1","corn","2-year",15347.1376422,15103.5322828,243.6053594,29110.8404483,19610.2314317
"19","E","C2","conv",897.6,45.5,852.1,0.00816,122.5490196,"Top",NA,281,258,23,606,"2019","1","corn","2-year",34436.2745076,31617.6470568,2818.6274508,74264.7058776,37254.9019584
"21","W","C4","low",874.3,42.2,832.1,0.00818,122.2493888,"Top",NA,5,4,1,24,"2019","2","corn","4-year",611.246944,488.9975552,122.2493888,2933.9853312,2200.4889984
"21","E","C4","conv",655.4,42.5,612.9,0.00804,124.3781095,"Top",NA,9,4,5,0,"2019","2","corn","4-year",1119.4029855,497.512438,621.8905475,0,2114.4278615
"22","W","A4","conv",599.2,42.5,556.7,0.00799,125.1564456,"Top",NA,33,31,2,32,"2019","2","alfalfa","4-year",4130.1627048,3879.8498136,250.3128912,4005.0062592,9637.0463112
"22","E","A4","low",703.1,40.3,662.8,0.00811,123.3045623,"Top",NA,36,33,3,133,"2019","2","alfalfa","4-year",4438.9642428,4069.0505559,369.9136869,16399.5067859,12823.6744792
"23","W","O3","conv",755.8,49.2,706.6,0.00804,124.3781095,"Top",NA,168,149,19,82,"2019","2","oat","3-year",20895.522396,18532.3383155,2363.1840805,10199.004979,24626.865681
"23","E","O3","low",652.1,43.3,608.8,0.00803,124.5330012,"Top",NA,91,79,12,107,"2019","2","oat","3-year",11332.5031092,9838.1070948,1494.3960144,13325.0311284,15940.2241536
"24","W","S2","low",772.9,72.9,700,0.00779,128.3697047,"Top",NA,6,5,1,52,"2019","2","soybean","2-year",770.2182282,641.8485235,128.3697047,6675.2246444,4364.5699598
"24","E","S2","conv",684.9,40.1,644.8,0.0081,123.4567901,"Top",NA,6,6,0,37,"2019","2","soybean","2-year",740.7407406,740.7407406,0,4567.9012337,3333.3333327
"25","W","C3","low",800.1,42.1,758,0.00815,122.6993865,"Top",NA,7,5,2,42,"2019","2","corn","3-year",858.8957055,613.4969325,245.398773,5153.374233,3190.184049
"25","E","C3","conv",716.4,48.6,667.8,0.00802,124.6882793,"Top",NA,26,23,3,49,"2019","2","corn","3-year",3241.8952618,2867.8304239,374.0648379,6109.7256857,3241.8952618
"26","W","S3","conv",739.4,45.8,693.6,0.00807,123.9157373,"Top",NA,2,1,1,12,"2019","2","soybean","3-year",247.8314746,123.9157373,123.9157373,1486.9888476,619.5786865
"26","E","S3","low",636.5,45.9,590.6,0.00798,125.3132832,"Top",NA,2,2,0,13,"2019","2","soybean","3-year",250.6265664,250.6265664,0,1629.0726816,1629.0726816
"27","W","C2","conv",812.6,46.9,765.7,0.0081,123.4567901,"Top",NA,58,46,12,141,"2019","2","corn","2-year",7160.4938258,5679.0123446,1481.4814812,17407.4074041,7283.9506159
"27","E","C2","low",628.3,44.3,584,0.00799,125.1564456,"Top",NA,36,29,7,68,"2019","2","corn","2-year",4505.6320416,3629.5369224,876.0951192,8510.6383008,6007.5093888
"28","W","S4","conv",665.8,42.7,623.1,0.00805,124.2236025,"Top",NA,3,3,0,6,"2019","2","soybean","4-year",372.6708075,372.6708075,0,745.341615,1242.236025
"28","E","S4","low",768.1,42.9,725.2,0.00812,123.1527094,"Top",NA,5,5,0,18,"2019","2","soybean","4-year",615.763547,615.763547,0,2216.7487692,738.9162564
"29","W","O4","conv",582.6,48.3,534.3,0.00789,126.7427123,"Top",NA,56,52,4,39,"2019","2","oat","4-year",7097.5918888,6590.6210396,506.9708492,4942.9657797,17237.0088728
"29","E","O4","low",666.5,43.9,622.6,0.00803,124.5330012,"Top",NA,113,105,8,123,"2019","2","oat","4-year",14072.2291356,13075.965126,996.2640096,15317.5591476,19800.7471908
"31","W","C4","conv",747.3,44,703.3,0.00809,123.6093943,"Top",NA,2,2,0,4,"2019","3","corn","4-year",247.2187886,247.2187886,0,494.4375772,370.8281829
"31","E","C4","low",747.4,64.8,682.6,0.00785,127.388535,"Top",NA,4,3,1,2,"2019","3","corn","4-year",509.55414,382.165605,127.388535,254.77707,509.55414
"32","W","O4","low",714.8,41.3,673.5,0.0081,123.4567901,"Top",NA,135,123,12,98,"2019","3","oat","4-year",16666.6666635,15185.1851823,1481.4814812,12098.7654298,24444.4444398
"32","E","O4","conv",717.7,41.5,676.2,0.0081,123.4567901,"Top",NA,106,100,6,46,"2019","3","oat","4-year",13086.4197506,12345.67901,740.7407406,5679.0123446,17407.4074041
"33","W","C3","low",902.3,62,840.3,0.00801,124.8439451,"Top",NA,14,10,4,16,"2019","3","corn","3-year",1747.8152314,1248.439451,499.3757804,1997.5031216,3121.0986275
"33","E","C3","conv",841.6,40.2,801.4,0.00819,122.1001221,"Top",NA,11,10,1,42,"2019","3","corn","3-year",1343.1013431,1221.001221,122.1001221,5128.2051282,1587.3015873
"34","W","S2","low",602.2,42.1,560.1,0.008,125,"Top",NA,9,4,5,21,"2019","3","soybean","2-year",1125,500,625,2625,1875
"34","E","S2","conv",607.6,50.9,556.7,0.00788,126.9035533,"Top",NA,1,1,0,7,"2019","3","soybean","2-year",126.9035533,126.9035533,0,888.3248731,380.7106599
"35","W","C2","low",816.1,46.5,769.6,0.00811,123.3045623,"Top",NA,42,40,2,84,"2019","3","corn","2-year",5178.7916166,4932.182492,246.6091246,10357.5832332,5795.3144281
"35","E","C2","conv",943,41.4,901.6,0.00822,121.6545012,"Top",NA,137,132,5,251,"2019","3","corn","2-year",16666.6666644,16058.3941584,608.272506,30535.2798012,17274.9391704
"36","W","S3","low",794.4,48.8,745.6,0.00807,123.9157373,"Top",NA,6,3,3,5,"2019","3","soybean","3-year",743.4944238,371.7472119,371.7472119,619.5786865,1858.7360595
"36","E","S3","conv",619.7,47.6,572.1,0.00794,125.9445844,"Top",NA,2,2,0,1,"2019","3","soybean","3-year",251.8891688,251.8891688,0,125.9445844,251.8891688
"37","W","S4","low",743.3,41.3,702,0.00812,123.1527094,"Top",NA,1,1,0,5,"2019","3","soybean","4-year",123.1527094,123.1527094,0,615.763547,1231.527094
"37","E","S4","conv",674.6,45.5,629.1,0.00802,124.6882793,"Top",NA,2,1,1,0,"2019","3","soybean","4-year",249.3765586,124.6882793,124.6882793,0,1122.1945137
"38","W","O3","conv",831.5,45.3,786.2,0.00813,123.00123,"Top",NA,65,59,6,27,"2019","3","oat","3-year",7995.07995,7257.07257,738.00738,3321.03321,18204.18204
"38","E","O3","low",863.9,48.6,815.3,0.00812,123.1527094,"Top",NA,108,93,15,84,"2019","3","oat","3-year",13300.4926152,11453.2019742,1847.290641,10344.8275896,18596.0591194
"39","W","A4","low",794.4,42.7,751.7,0.00814,122.8501229,"Top",NA,88,65,23,176,"2019","3","alfalfa","4-year",10810.8108152,7985.2579885,2825.5528267,21621.6216304,19041.7690495
"39","E","A4","conv",952.9,44.9,908,0.00819,122.1001221,"Top",NA,75,67,8,89,"2019","3","alfalfa","4-year",9157.5091575,8180.7081807,976.8009768,10866.9108669,17582.4175824
"41","W","A4","low",655.1,47.7,607.4,0.00797,125.4705144,"Top",NA,66,54,12,83,"2019","4","alfalfa","4-year",8281.0539504,6775.4077776,1505.6461728,10414.0526952,10037.641152
"41","E","A4","conv",903.7,47.1,856.6,0.00815,122.6993865,"Top",NA,47,44,3,84,"2019","4","alfalfa","4-year",5766.8711655,5398.773006,368.0981595,10306.748466,6993.8650305
"42","W","C3","conv",754.2,47.6,706.6,0.00806,124.0694789,"Top",NA,11,9,2,20,"2019","4","corn","3-year",1364.7642679,1116.6253101,248.1389578,2481.389578,1736.9727046
"42","E","C3","low",655,45.4,609.6,0.008,125,"Top",NA,24,22,2,42,"2019","4","corn","3-year",3000,2750,250,5250,4125
"43","W","C4","conv",645.1,41.8,603.3,0.00804,124.3781095,"Top",NA,0,0,0,4,"2019","4","corn","4-year",0,0,0,497.512438,1119.4029855
"43","E","C4","low",707.8,44.9,662.9,0.00805,124.2236025,"Top",NA,0,0,0,12,"2019","4","corn","4-year",0,0,0,1490.68323,745.341615
"44","W","S2","conv",905.5,45.8,859.7,0.00817,122.3990208,"Top",NA,31,26,5,60,"2019","4","soybean","2-year",3794.3696448,3182.3745408,611.995104,7343.941248,4528.7637696
"44","E","S2","low",722.9,45.6,677.3,0.00806,124.0694789,"Top",NA,47,39,8,95,"2019","4","soybean","2-year",5831.2655083,4838.7096771,992.5558312,11786.6004955,7568.2382129
"45","W","C2","low",658.5,44.3,614.2,0.00802,124.6882793,"Top",NA,12,9,3,47,"2019","4","corn","2-year",1496.2593516,1122.1945137,374.0648379,5860.3491271,2743.1421446
"45","E","C2","conv",727.9,45.4,682.5,0.00806,124.0694789,"Top",NA,9,9,0,24,"2019","4","corn","2-year",1116.6253101,1116.6253101,0,2977.6674936,4094.2928037
"46","W","S4","low",729.5,52.8,676.7,0.00798,125.3132832,"Top",NA,8,6,2,7,"2019","4","soybean","4-year",1002.5062656,751.8796992,250.6265664,877.1929824,2255.6390976
"46","E","S4","conv",730.4,42.2,688.2,0.0081,123.4567901,"Top",NA,1,1,0,1,"2019","4","soybean","4-year",123.4567901,123.4567901,0,123.4567901,370.3703703
"47","W","S3","conv",618.4,45.6,572.8,0.00797,125.4705144,"Top",NA,0,0,0,0,"2019","4","soybean","3-year",0,0,0,0,250.9410288
"47","E","S3","low",767.6,44.9,722.7,0.0081,123.4567901,"Top",NA,3,2,1,2,"2019","4","soybean","3-year",370.3703703,246.9135802,123.4567901,246.9135802,1604.9382713
"48","W","O3","low",694.1,43.2,650.9,0.00806,124.0694789,"Top",NA,33,4,29,56,"2019","4","oat","3-year",4094.2928037,496.2779156,3598.0148881,6947.8908184,5955.3349872
"48","E","O3","conv",677,53.1,623.9,0.00793,126.1034048,"Top",NA,54,38,16,111,"2019","4","oat","3-year",6809.5838592,4791.9293824,2017.6544768,13997.4779328,10466.5825984
"49","W","O4","low",614,44.1,569.9,0.00798,125.3132832,"Top",NA,68,37,31,71,"2019","4","oat","4-year",8521.3032576,4636.5914784,3884.7117792,8897.2431072,12531.32832
"49","E","O4","conv",2163.3,41.8,2121.5,0.00843,118.623962,"Top",17288,47,41,6,82,"2019","4","oat","4-year",5575.326214,4863.582442,711.743772,9727.164884,8778.173188
